p,m_k,n_k,q_k
11522153,22,2,2707
11607653,2,2,3407
11608673,10,2,3407
11617577,20,2,3251
11669657,20,2,3259
11697211,7,3,227
11773313,22,2,2753
11785493,2,2,3433
11786513,10,2,3433
11801873,14,2,3433
11910713,18,2,3413
11945177,20,2,3301
11950853,2,2,3457
11951873,10,2,3457
11982617,12,2,3461
11992373,2,2,3463
11992433,6,2,3463
12010013,10,3,229
12044057,16,2,3461
12117377,4,4,59
12121457,12,4,59
12220193,22,2,2833
12221371,19,3,227
12247097,12,2,3499
12282233,18,2,3467
12327377,8,2,3511
12344897,20,2,3361
12356753,22,2,2857
12586913,22,2,2897
12590057,16,2,3539
12604217,16,2,3541
12652253,2,2,3557
12703193,22,2,2917
12744233,18,2,3533
12780409,17,3,233
12823817,8,2,3581
12837893,2,2,3583
12837953,6,2,3583
12838913,10,2,3583
12854273,14,2,3583
12909653,2,2,3593
12914393,18,2,3557
12914513,22,2,2953
12926033,14,2,3593
12944177,20,2,3449
13026833,14,2,3607
13027097,20,2,3461
13082753,6,2,3617
13165937,20,4,59
13171577,23,14,3
13184177,4,2,3631
13228793,10,2,3637
13332833,22,2,3023
13417673,22,2,3037
13476497,8,2,3671
13489913,18,2,3637
13490993,6,2,3673
13491953,10,2,3673
13502417,20,2,3529
13507313,14,2,3673
13520333,2,2,3677
13533593,18,2,3643
13623737,8,2,3691
13652047,7,3,239
13653967,11,3,239
13689017,16,2,3691
13701497,12,2,3701
13756697,4,2,3709
13760777,12,2,3709
13822217,16,2,3709
13835057,12,2,3719
13845857,4,4,61
13872137,20,2,3581
13935293,2,2,3733
13936313,10,2,3733
13980377,8,2,3739
13997537,4,3,241
14149217,12,2,3761
14152673,18,2,3727
14190353,6,2,3767
14205377,4,2,3769
14284937,12,2,3779
14346377,16,2,3779
14348909,1,15,3
14348923,4,15,3
14357099,13,15,3
14365291,14,15,3
14387873,10,2,3793
14414443,16,15,3
14417213,2,2,3797
14436857,20,2,3659
14452433,18,2,3767
14462813,2,2,3803
14463833,10,2,3803
14479193,14,2,3803
14479979,17,15,3
14616353,10,2,3823
14745977,20,2,3701
14830457,8,2,3851
14845613,2,2,3853
14845673,6,2,3853
14861993,14,2,3853
14922773,2,2,3863
15032153,10,2,3877
15130553,22,2,3307
15253937,20,2,3769
15264713,6,2,3907
15293273,18,2,3877
